Accession,Organism_Name,Species,MPXV_Lineage,Clade,Isolate,Geo_Location,Host,Collection_Date,Release_Date
OZ412512.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4,IIb,ITM_25100119,Belgium,,9/18/2025,2/14/2026
OZ412513.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,ITM_25120433,Belgium,,12/3/2025,2/14/2026
OZ412551.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,ITM_25101016,Belgium,,10/1/2025,2/14/2026
OZ412552.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,ITM_25111331,Belgium,,11/10/2025,2/14/2026
OZ412553.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,ITM_25123105,Belgium,,12/20/2025,2/14/2026
OZ412016.1,Monkeypox virus,Orthopoxvirus monkeypox,,Ib,VIDO_CIb_P1,Canada,,2024-12,2/13/2026
OZ411894.1,Monkeypox virus,Orthopoxvirus monkeypox,B.1.4,IIb,VIDO_IIb_S1,Canada,,7/17/1905,2/12/2026
OZ412015.1,Monkeypox virus,Orthopoxvirus monkeypox,A.2.2,IIb,MPXV_UK_2025_GD25-074,United Kingdom,Homo sapiens,2025-05,2/12/2026
OZ409348.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0963_2026,Portugal,Homo sapiens,1/15/2026,2/9/2026
OZ409349.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0956_2026,Portugal,Homo sapiens,12/20/2025,2/9/2026
OZ409350.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0953_2026,Portugal,Homo sapiens,12/29/2025,2/9/2026
OZ409351.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0950_2026,Portugal,Homo sapiens,12/30/2025,2/9/2026
OZ409352.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0951_2026,Portugal,Homo sapiens,12/30/2025,2/9/2026
OZ409353.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0959_2026,Portugal,Homo sapiens,1/13/2026,2/9/2026
OZ409355.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0964_2026,Portugal,Homo sapiens,1/17/2026,2/9/2026
OZ409356.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0966_2026,Portugal,Homo sapiens,1/21/2026,2/9/2026
OZ409357.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0960_2026,Portugal,Homo sapiens,1/12/2026,2/9/2026
OZ409358.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0967_2026,Portugal,Homo sapiens,1/20/2026,2/9/2026
OZ409359.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0958_2026,Portugal,Homo sapiens,1/12/2026,2/9/2026
OZ409360.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0952_2026,Portugal,Homo sapiens,12/30/2025,2/9/2026
OZ409361.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0955_2026,Portugal,Homo sapiens,1/6/2026,2/9/2026
OZ409362.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0962_2026,Portugal,Homo sapiens,1/15/2026,2/9/2026
OZ409363.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0954_2026,Portugal,Homo sapiens,1/6/2026,2/9/2026
OZ409364.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0957_2026,Portugal,Homo sapiens,11/28/2025,2/9/2026
OZ409365.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0961_2026,Portugal,Homo sapiens,1/14/2026,2/9/2026
OZ409563.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0940_2025,Portugal,Homo sapiens,12/16/2025,2/9/2026
