Accession,Organism_Name,Species,MPXV_Lineage,Clade,Isolate,Geo_Location,Host,Date,Release_Date,Latitude,Longitude
OZ409348.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0963_2026,Portugal,Homo sapiens,2026-01-15,2/9/2026,39.6621648,-8.1353519
OZ409349.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0956_2026,Portugal,Homo sapiens,2025-12-20,2/9/2026,39.6621648,-8.1353519
OZ409350.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0953_2026,Portugal,Homo sapiens,2025-12-29,2/9/2026,39.6621648,-8.1353519
OZ409351.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0950_2026,Portugal,Homo sapiens,2025-12-30,2/9/2026,39.6621648,-8.1353519
OZ409352.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0951_2026,Portugal,Homo sapiens,2025-12-30,2/9/2026,39.6621648,-8.1353519
OZ409353.1,Monkeypox virus,Orthopoxvirus monkeypox,F.2,IIb,Monkeypox_PT0959_2026,Portugal,Homo sapiens,2026-01-13,2/9/2026,39.6621648,-8.1353519
OZ409355.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0964_2026,Portugal,Homo sapiens,2026-01-17,2/9/2026,39.6621648,-8.1353519
OZ409356.1,Monkeypox virus,Orthopoxvirus monkeypox,E.3.1,IIb,Monkeypox_PT0966_2026,Portugal,Homo sapiens,2026-01-21,2/9/2026,39.6621648,-8.1353519
OZ409357.1,Monkeypox virus,Orthopoxvirus monkeypox,F.4.1,IIb,Monkeypox_PT0960_2026,Portugal,Homo sapiens,2026-01-12,2/9/2026,39.6621648,-8.1353519
OZ409358.1,Monkeypox virus,Orthopoxvirus monkeypox,E.1.1,IIb,Monkeypox_PT0967_2026,Portugal,Homo sapiens,2026-01-20,2/9/2026,39.6621648,-8.1353519
